i,j,n_i,n_j,n_pairs_used,d_ij,cos_ij,cos_dist,med_T_sim,med_T_dist
0,1,200,200,40000,32.112497052597526,0.06443095764336679,0.9355690423566332,0.08108108108108109,0.9189189189189189
0,2,200,200,40000,34.22249935091296,-0.0773744734780793,1.0773744734780792,0.07777777777777778,0.9222222222222223
0,3,200,200,40000,33.87715883785655,-0.06107849620566385,1.0610784962056639,0.08421052631578947,0.9157894736842105
0,4,200,200,40000,33.81886161026343,-0.06027335738315076,1.0602733573831506,0.07792207792207792,0.922077922077922
0,5,200,200,40000,33.06495678987908,-0.020269663883847374,1.0202696638838473,0.07865168539325842,0.9213483146067416
0,6,200,200,40000,31.48849266125476,0.07165355986591784,0.9283464401340822,0.08045977011494253,0.9195402298850575
0,7,200,200,40000,34.0417102282007,-0.08808444972446762,1.0880844497244677,0.08163265306122448,0.9183673469387755
0,8,200,200,40000,31.20930998421394,0.08287797004273384,0.9171220299572662,0.08108108108108109,0.9189189189189189
0,9,200,200,40000,33.32626405708598,-0.048945477411540296,1.0489454774115403,0.08,0.92
0,10,200,200,40000,31.796860212094987,0.044197773689053275,0.9558022263109467,0.08080808080808081,0.9191919191919192
0,11,200,200,40000,32.719530420774866,-0.016861476441624012,1.016861476441624,0.08163265306122448,0.9183673469387755
0,12,200,200,40000,33.810516851405126,-0.08635894464957271,1.0863589446495727,0.0784313725490196,0.9215686274509804
0,13,200,200,40000,33.01070437892395,-0.03897260351882236,1.0389726035188223,0.07368421052631578,0.9263157894736842
0,14,200,200,40000,33.482082394521164,-0.0703134540159124,1.0703134540159125,0.07526881720430108,0.9247311827956989
0,15,200,200,40000,32.824827901693816,-0.03268676296049341,1.0326867629604934,0.08,0.92
0,16,200,200,40000,31.46392258820118,0.048594028209568145,0.9514059717904318,0.07920792079207921,0.9207920792079208
0,17,200,200,40000,32.21520922470165,8.193640129572166e-05,0.9999180635987043,0.07865168539325842,0.9213483146067416
0,18,200,200,40000,32.177045237293896,0.0007139112798181679,0.9992860887201819,0.07317073170731707,0.926829268292683
0,19,200,200,40000,30.522667707908234,0.09794292416846682,0.9020570758315332,0.07446808510638298,0.925531914893617
0,20,200,200,40000,33.02242027332823,-0.05962781723460979,1.0596278172346099,0.07894736842105263,0.9210526315789473
0,21,200,200,40000,31.74205095109506,0.019853810120465568,0.9801461898795344,0.0784313725490196,0.9215686274509804
0,22,200,200,40000,33.06426515441989,-0.06569892806364551,1.0656989280636455,0.08045977011494253,0.9195402298850575
0,23,200,200,40000,31.70523378663582,0.014138782304998376,0.9858612176950017,0.07792207792207792,0.922077922077922
0,24,200,200,40000,31.882894336198337,0.00031039340053453106,0.9996896065994655,0.07894736842105263,0.9210526315789473
0,25,200,200,40000,32.04011501446501,-0.015711614555621454,1.0157116145556215,0.07865168539325842,0.9213483146067416
0,26,200,200,40000,31.342120563394978,0.027511745232478235,0.9724882547675218,0.07692307692307693,0.9230769230769231
0,27,200,200,40000,32.57646978000963,-0.0582226917076824,1.0582226917076825,0.07317073170731707,0.926829268292683
0,28,200,200,40000,31.31622865235961,0.01564187696171613,0.9843581230382838,0.07462686567164178,0.9253731343283582
0,29,200,200,40000,30.21516277590754,0.056493493984313595,0.9435065060156864,0.07291666666666667,0.9270833333333334
1,2,200,200,40000,32.47057447449712,0.026000239877008762,0.9739997601229913,0.07777777777777778,0.9222222222222223
1,3,200,200,40000,32.943513680351685,-0.007670353335832682,1.0076703533358327,0.08333333333333333,0.9166666666666666
1,4,200,200,40000,32.56799644743092,0.012519512453557922,0.9874804875464421,0.07865168539325842,0.9213483146067416
1,5,200,200,40000,32.81255058606062,-0.00907775179220913,1.0090777517922092,0.07894736842105263,0.9210526315789473
1,6,200,200,40000,32.93879740890791,-0.020289415249805137,1.0202894152498052,0.08235294117647059,0.9176470588235294
1,7,200,200,40000,32.22597731109454,0.02073671116545868,0.9792632888345413,0.08333333333333333,0.9166666666666666
1,8,200,200,40000,32.414287469274534,0.006311110897947694,0.9936888891020523,0.08108108108108109,0.9189189189189189
1,9,200,200,40000,32.15515455212473,0.019282397562406232,0.9807176024375938,0.08139534883720931,0.9186046511627907
1,10,200,200,40000,32.36601967145783,0.005302825828018043,0.994697174171982,0.08163265306122448,0.9183673469387755
1,11,200,200,40000,32.835906117243155,-0.02861206980610817,1.028612069806108,0.08247422680412371,0.9175257731958762
1,12,200,200,40000,33.00585378328449,-0.03974547664465375,1.0397454766446537,0.08,0.92
1,13,200,200,40000,32.65297392357792,-0.021024027886782953,1.021024027886783,0.07777777777777778,0.9222222222222223
1,14,200,200,40000,33.89499443910287,-0.10173801370421891,1.101738013704219,0.07692307692307693,0.9230769230769231
1,15,200,200,40000,31.955060620337985,0.017065264657091905,0.9829347353429081,0.08333333333333333,0.9166666666666666
1,16,200,200,40000,31.85053900244934,0.020673924796104505,0.9793260752038955,0.08,0.92
1,17,200,200,40000,32.481335765827666,-0.021073836880852324,1.0210738368808523,0.08,0.92
1,18,200,200,40000,31.24332149218955,0.053774478638406516,0.9462255213615934,0.07692307692307693,0.9230769230769231
1,19,200,200,40000,33.09870979918622,-0.0659454259366341,1.065945425936634,0.07792207792207792,0.922077922077922
1,20,200,200,40000,31.78114300962172,0.014322785854457896,0.9856772141455421,0.08163265306122448,0.9183673469387755
1,21,200,200,40000,31.68861894170293,0.01874971463701487,0.9812502853629851,0.07920792079207921,0.9207920792079208
1,22,200,200,40000,32.62677875247141,-0.04227637120755819,1.0422763712075582,0.08247422680412371,0.9175257731958762
1,23,200,200,40000,32.72014566958621,-0.0549855205295914,1.0549855205295915,0.078125,0.921875
1,24,200,200,40000,31.78568344109777,0.0018865630688001999,0.9981134369311998,0.08,0.92
1,25,200,200,40000,31.956415147279042,-0.015023162605612173,1.015023162605612,0.08,0.92
1,26,200,200,40000,32.16389887020916,-0.02909688593948717,1.0290968859394871,0.07920792079207921,0.9207920792079208
1,27,200,200,40000,31.90247045651627,-0.019358156154033912,1.019358156154034,0.075,0.925
1,28,200,200,40000,32.660992238690994,-0.07622349434496627,1.0762234943449662,0.0759493670886076,0.9240506329113924
1,29,200,200,40000,30.32368637614553,0.0450064970066051,0.9549935029933949,0.07777777777777778,0.9222222222222223
2,3,200,200,40000,32.34453420055312,0.014783678825989984,0.98521632117401,0.07954545454545454,0.9204545454545454
2,4,200,200,40000,31.893146637598427,0.03947097441009121,0.9605290255899088,0.0759493670886076,0.9240506329113924
2,5,200,200,40000,32.44482302202893,-0.0007924127411120236,1.000792412741112,0.07920792079207921,0.9207920792079208
2,6,200,200,40000,32.44198695780517,-0.004037158165921997,1.004037158165922,0.0759493670886076,0.9240506329113924
2,7,200,200,40000,32.52970570275833,-0.012284871913536074,1.012284871913536,0.07954545454545454,0.9204545454545454
2,8,200,200,40000,33.02718743452434,-0.046635224717177064,1.046635224717177,0.07936507936507936,0.9206349206349207
2,9,200,200,40000,31.331854652197322,0.05529027366363656,0.9447097263363634,0.07954545454545454,0.9204545454545454
2,10,200,200,40000,32.772000175380406,-0.0347094455788985,1.0347094455788985,0.07692307692307693,0.9230769230769231
2,11,200,200,40000,31.97853568870175,0.010132971983886158,0.9898670280161138,0.0784313725490196,0.9215686274509804
2,12,200,200,40000,31.881272239005554,0.015720651599398994,0.984279348400601,0.07608695652173914,0.9239130434782609
2,13,200,200,40000,32.02871408696282,0.003211798709366338,0.9967882012906336,0.07792207792207792,0.922077922077922
2,14,200,200,40000,32.18458676522656,-0.007870738909343231,1.0078707389093433,0.07692307692307693,0.9230769230769231
2,15,200,200,40000,33.17672216266918,-0.0753052652254688,1.0753052652254689,0.07692307692307693,0.9230769230769231
2,16,200,200,40000,32.995141098009164,-0.06668615458269278,1.0666861545826927,0.08,0.92
2,17,200,200,40000,31.82115482141048,0.005476389665615405,0.9945236103343846,0.07792207792207792,0.922077922077922
2,18,200,200,40000,32.28231311960197,-0.02541387749914842,1.0254138774991484,0.07865168539325842,0.9213483146067416
2,19,200,200,40000,30.98509555237225,0.05208380201692965,0.9479161979830704,0.075,0.925
2,20,200,200,40000,31.969262066323214,-0.012404471450523452,1.0124044714505234,0.08080808080808081,0.9191919191919192
2,21,200,200,40000,31.6945690773492,0.00358730035058192,0.996412699649418,0.07766990291262135,0.9223300970873787
2,22,200,200,40000,29.889582609850176,0.11240894154079202,0.8875910584592079,0.07894736842105263,0.9210526315789473
