ball_id,architecture,n_unique_identities,median_within_tanimoto,median_across_tanimoto,per_ball_AUC_W_vs_A
0,GDSS,86649,0.0816,0.0792,0.5281
1,GDSS,84093,0.0825,0.0808,0.5184
2,GDSS,91592,0.0833,0.0792,0.5268
3,GDSS,87463,0.0870,0.0808,0.5564
4,GDSS,70065,0.0769,0.0769,0.5009
5,GDSS,76300,0.0805,0.0795,0.5065
6,GDSS,91535,0.0833,0.0787,0.5446
7,GDSS,89808,0.0816,0.0808,0.5081
8,GDSS,87793,0.0851,0.0816,0.5278
9,GDSS,76212,0.0843,0.0816,0.5218
10,GDSS,87098,0.0842,0.0806,0.5314
11,GDSS,86691,0.0857,0.0822,0.5374
12,GDSS,89880,0.0833,0.0814,0.5200
13,GDSS,66581,0.0851,0.0795,0.5494
14,GDSS,93616,0.0811,0.0794,0.5205
15,GDSS,65683,0.0842,0.0814,0.5270
16,GDSS,77821,0.0824,0.0800,0.5174
17,GDSS,87043,0.0843,0.0811,0.5305
18,GDSS,80653,0.0833,0.0781,0.5429
19,GDSS,78026,0.0829,0.0800,0.5263
20,GDSS,82740,0.0851,0.0824,0.5264
21,GDSS,87991,0.0811,0.0795,0.5113
22,GDSS,88584,0.0842,0.0822,0.5208
23,GDSS,87132,0.0833,0.0808,0.5248
24,GDSS,79697,0.0842,0.0816,0.5184
25,GDSS,87116,0.0843,0.0811,0.5284
26,GDSS,75096,0.0833,0.0808,0.5181
27,GDSS,81758,0.0800,0.0795,0.5047
28,GDSS,80483,0.0778,0.0769,0.5129
29,GDSS,91228,0.0816,0.0778,0.5367
