i,j,n_i,n_j,n_pairs_used,d_ij,cos_ij,cos_dist,med_T_sim,med_T_dist
0,1,200,200,40000,8.919570227606384,0.16944703768680353,0.8305529623131964,0.1375,0.8625
0,2,200,200,40000,10.280633017771104,-0.12456971953983965,1.1245697195398396,0.10880327163151098,0.8911967283684891
0,3,200,200,40000,8.599543501660381,0.19408504854047776,0.8059149514595223,0.13636363636363635,0.8636363636363636
0,4,200,200,40000,8.422818533949696,0.2123209744372604,0.7876790255627396,0.14666666666666667,0.8533333333333333
0,5,200,200,40000,9.372048386294017,0.0095233376435977,0.9904766623564023,0.136986301369863,0.863013698630137
0,6,200,200,40000,10.139842713295767,-0.17236554140461224,1.1723655414046124,0.13043478260869565,0.8695652173913043
0,7,200,200,40000,9.944295388503708,-0.14284410777551942,1.1428441077755194,0.10588235294117647,0.8941176470588236
0,8,200,200,40000,8.729829285534457,0.10971274554769349,0.8902872544523065,0.12903225806451613,0.8709677419354839
0,9,200,200,40000,10.042036011349506,-0.1842226217445304,1.1842226217445304,0.08235294117647059,0.9176470588235294
0,10,200,200,40000,8.194292577366017,0.2059625518436052,0.7940374481563948,0.125,0.875
0,11,200,200,40000,9.312340286047307,-0.04146588615377538,1.0414658861537753,0.11764705882352941,0.8823529411764706
0,12,200,200,40000,7.5254382344148585,0.32378191853077215,0.6762180814692278,0.08333333333333333,0.9166666666666666
0,13,200,200,40000,7.944059583348835,0.23905670110286303,0.760943298897137,0.13978494623655913,0.8602150537634409
0,14,200,200,40000,9.237842790783706,-0.050777767928555505,1.0507777679285555,0.10975609756097561,0.8902439024390244
0,15,200,200,40000,9.04962767602863,-0.018166807210174916,1.0181668072101748,0.12987012987012986,0.8701298701298701
0,16,200,200,40000,9.716880876524336,-0.18910114914896317,1.1891011491489631,0.13541666666666666,0.8645833333333334
0,17,200,200,40000,9.215619986172022,-0.07205895602427456,1.0720589560242746,0.1276595744680851,0.8723404255319149
0,18,200,200,40000,9.171813252311598,-0.06811414269471214,1.068114142694712,0.1267605633802817,0.8732394366197183
0,19,200,200,40000,9.566470576754803,-0.17899055734433783,1.1789905573443378,0.14,0.86
0,20,200,200,40000,7.457656568451526,0.29305924509506925,0.7069407549049307,0.0975609756097561,0.9024390243902439
0,21,200,200,40000,8.284912229762108,0.11574900244033695,0.8842509975596631,0.13924050632911392,0.8607594936708861
0,22,200,200,40000,8.025580358573913,0.16222052218381797,0.837779477816182,0.09302325581395349,0.9069767441860466
