ball_id,architecture,n_unique_identities,median_within_tanimoto,median_across_tanimoto,per_ball_AUC_W_vs_A
0,HierVAE,1270,0.2235,0.1237,0.9444
1,HierVAE,297,0.3000,0.1220,0.9727
2,HierVAE,5722,0.2095,0.1031,0.9199
3,HierVAE,490,0.3099,0.1299,0.9897
4,HierVAE,484,0.2500,0.1304,0.9485
5,HierVAE,4331,0.1712,0.1176,0.8418
6,HierVAE,5400,0.1905,0.1176,0.9141
7,HierVAE,6676,0.1383,0.0984,0.7828
8,HierVAE,2662,0.1765,0.1250,0.8347
9,HierVAE,417,0.1897,0.0750,0.9549
10,HierVAE,276,0.1746,0.1067,0.8832
11,HierVAE,393,0.2022,0.1212,0.8797
12,HierVAE,276,0.1379,0.0811,0.8299
13,HierVAE,1702,0.2048,0.1319,0.8739
14,HierVAE,1907,0.1519,0.1084,0.7777
15,HierVAE,1306,0.2184,0.1149,0.9455
16,HierVAE,1704,0.2375,0.1370,0.9218
17,HierVAE,2794,0.1684,0.1205,0.7948
18,HierVAE,470,0.1791,0.1111,0.8734
19,HierVAE,1164,0.2000,0.1262,0.8840
20,HierVAE,456,0.1667,0.0824,0.9072
21,HierVAE,223,0.2405,0.1273,0.9456
22,HierVAE,822,0.1282,0.0921,0.7478
23,HierVAE,550,0.3151,0.1279,0.9938
24,HierVAE,1269,0.2603,0.1250,0.9440
25,HierVAE,1903,0.1548,0.1170,0.7413
26,HierVAE,374,0.1910,0.1235,0.8258
27,HierVAE,534,0.2188,0.1184,0.9444
28,HierVAE,555,0.2361,0.1158,0.9663
29,HierVAE,2607,0.1529,0.1170,0.7556
30,HierVAE,6925,0.2308,0.1120,0.9733
31,HierVAE,2017,0.1977,0.1287,0.8581
32,HierVAE,79,0.2500,0.1300,0.9301
33,HierVAE,1284,0.1846,0.0959,0.9365
34,HierVAE,369,0.1343,0.0885,0.8346
35,HierVAE,1802,0.1837,0.1264,0.8642
36,HierVAE,651,0.2400,0.1222,0.9612
37,HierVAE,1213,0.1857,0.1111,0.8647
38,HierVAE,522,0.2755,0.1197,0.9589
39,HierVAE,979,0.2574,0.1075,0.9858
40,HierVAE,308,0.2131,0.0870,0.9778
41,HierVAE,283,0.2154,0.1000,0.9441
42,HierVAE,365,0.1791,0.1170,0.8227
43,HierVAE,316,0.1509,0.1132,0.6831
44,HierVAE,608,0.2113,0.1294,0.8985
45,HierVAE,481,0.2000,0.1250,0.9194
46,HierVAE,178,0.2500,0.1364,0.9544
47,HierVAE,149,0.2222,0.0909,0.9652
48,HierVAE,645,0.1299,0.0864,0.7496
49,HierVAE,848,0.1765,0.1098,0.8256
50,HierVAE,1354,0.2245,0.1154,0.9614
51,HierVAE,281,0.1650,0.0944,0.8244
52,HierVAE,851,0.1757,0.1266,0.7973
53,HierVAE,811,0.1667,0.1053,0.8049
54,HierVAE,597,0.3165,0.1354,0.9926
55,HierVAE,1507,0.2593,0.1400,0.9590
56,HierVAE,1892,0.1310,0.0964,0.7397
57,HierVAE,263,0.2609,0.1236,0.9210
58,HierVAE,404,0.1791,0.1081,0.8761
59,HierVAE,707,0.2131,0.1311,0.8875
