ball_id,architecture,n_unique_identities,median_within_tanimoto,median_across_tanimoto,per_ball_AUC_W_vs_A
0,MolMiner,37,0.2250,0.1176,0.9017
1,MolMiner,256,0.2264,0.1081,0.9273
2,MolMiner,3848,0.1774,0.1067,0.8795
3,MolMiner,422,0.1351,0.0781,0.7960
4,MolMiner,2400,0.2267,0.1176,0.9423
5,MolMiner,338,0.2388,0.1111,0.9454
6,MolMiner,3237,0.2308,0.1370,0.9014
7,MolMiner,2759,0.2083,0.1299,0.8870
8,MolMiner,170,0.1923,0.1000,0.8617
9,MolMiner,1173,0.2535,0.1154,0.9126
10,MolMiner,3985,0.1646,0.1207,0.7634
11,MolMiner,15,0.2889,0.1129,0.9603
12,MolMiner,1283,0.1739,0.1124,0.8207
13,MolMiner,1935,0.2712,0.1316,0.9447
14,MolMiner,2188,0.1875,0.1169,0.8483
15,MolMiner,6615,0.2656,0.1447,0.9299
16,MolMiner,3457,0.1944,0.1333,0.7727
17,MolMiner,91,0.2162,0.1167,0.8982
18,MolMiner,80,0.4889,0.1356,0.9983
19,MolMiner,5251,0.1591,0.1143,0.8118
20,MolMiner,3948,0.1625,0.1277,0.7536
21,MolMiner,4082,0.1829,0.1351,0.7682
22,MolMiner,2433,0.1493,0.1159,0.7216
23,MolMiner,2974,0.1793,0.1294,0.7675
24,MolMiner,716,0.2535,0.1370,0.9038
25,MolMiner,897,0.1765,0.1231,0.7664
26,MolMiner,4892,0.1395,0.1084,0.7078
27,MolMiner,1774,0.1818,0.1159,0.8463
28,MolMiner,744,0.2188,0.1392,0.8850
29,MolMiner,1838,0.1899,0.1351,0.8384
