logP,qed,smiles,inchi,inchi_key_firstblock
2.0,0.6,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6020408163265306,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6040816326530613,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6061224489795918,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6081632653061224,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.610204081632653,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6122448979591837,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6142857142857142,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6163265306122448,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6183673469387755,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6204081632653061,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6224489795918368,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6244897959183673,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6265306122448979,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6285714285714286,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6306122448979592,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6326530612244897,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6346938775510204,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.636734693877551,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6387755102040816,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6408163265306123,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6428571428571428,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6448979591836734,CCN(C)C(=O)C(=O)NC(=S)Nc1ccccc1,"InChI=1S/C12H15N3O2S/c1-3-15(2)11(17)10(16)14-12(18)13-9-7-5-4-6-8-9/h4-8H,3H2,1-2H3,(H2,13,14,16,18)",ZDGRZEAWOMXEPD
2.0,0.6469387755102041,CCNC(=S)NC(=O)CN1C(=O)SC(=Cc2cccc(N(C)C)c2)C1=O,"InChI=1S/C17H20N4O3S2/c1-4-18-16(25)19-14(22)10-21-15(23)13(26-17(21)24)9-11-6-5-7-12(8-11)20(2)3/h5-9H,4,10H2,1-3H3,(H2,18,19,22,25)",AHTWDMVFDQTNIU
2.0,0.6489795918367347,CCNC(=S)NC(=O)CN1C(=O)SC(=Cc2cccc(N(C)C)c2)C1=O,"InChI=1S/C17H20N4O3S2/c1-4-18-16(25)19-14(22)10-21-15(23)13(26-17(21)24)9-11-6-5-7-12(8-11)20(2)3/h5-9H,4,10H2,1-3H3,(H2,18,19,22,25)",AHTWDMVFDQTNIU
2.0,0.6510204081632652,CCNC(=S)NC(=O)CN1C(=O)SC(=Cc2cccc(N(C)C)c2)C1=O,"InChI=1S/C17H20N4O3S2/c1-4-18-16(25)19-14(22)10-21-15(23)13(26-17(21)24)9-11-6-5-7-12(8-11)20(2)3/h5-9H,4,10H2,1-3H3,(H2,18,19,22,25)",AHTWDMVFDQTNIU
2.0,0.6530612244897959,CCNC(=S)NC(=O)CN1C(=O)SC(=Cc2cccc(N(C)C)c2)C1=O,"InChI=1S/C17H20N4O3S2/c1-4-18-16(25)19-14(22)10-21-15(23)13(26-17(21)24)9-11-6-5-7-12(8-11)20(2)3/h5-9H,4,10H2,1-3H3,(H2,18,19,22,25)",AHTWDMVFDQTNIU
2.0,0.6551020408163265,CCNC(=S)NC(=O)CN1C(=O)SC(=Cc2cccc(N(C)C)c2)C1=O,"InChI=1S/C17H20N4O3S2/c1-4-18-16(25)19-14(22)10-21-15(23)13(26-17(21)24)9-11-6-5-7-12(8-11)20(2)3/h5-9H,4,10H2,1-3H3,(H2,18,19,22,25)",AHTWDMVFDQTNIU
2.0,0.6571428571428571,CCNC(=S)NC(=O)CN1C(=O)SC(=Cc2cccc(N(C)C)c2)C1=O,"InChI=1S/C17H20N4O3S2/c1-4-18-16(25)19-14(22)10-21-15(23)13(26-17(21)24)9-11-6-5-7-12(8-11)20(2)3/h5-9H,4,10H2,1-3H3,(H2,18,19,22,25)",AHTWDMVFDQTNIU
2.0,0.6591836734693878,CCNC(=S)NC(=O)CN1C(=O)SC(=Cc2cccc(N(C)C)c2)C1=O,"InChI=1S/C17H20N4O3S2/c1-4-18-16(25)19-14(22)10-21-15(23)13(26-17(21)24)9-11-6-5-7-12(8-11)20(2)3/h5-9H,4,10H2,1-3H3,(H2,18,19,22,25)",AHTWDMVFDQTNIU
2.0,0.6612244897959183,CCNC(=S)NC(=O)CN1C(=O)SC(=Cc2cccc(N(C)C)c2)C1=O,"InChI=1S/C17H20N4O3S2/c1-4-18-16(25)19-14(22)10-21-15(23)13(26-17(21)24)9-11-6-5-7-12(8-11)20(2)3/h5-9H,4,10H2,1-3H3,(H2,18,19,22,25)",AHTWDMVFDQTNIU
2.0,0.6632653061224489,CCNC(=S)NC(=O)CN1C(=O)SC(=Cc2cccc(N(C)C)c2)C1=O,"InChI=1S/C17H20N4O3S2/c1-4-18-16(25)19-14(22)10-21-15(23)13(26-17(21)24)9-11-6-5-7-12(8-11)20(2)3/h5-9H,4,10H2,1-3H3,(H2,18,19,22,25)",AHTWDMVFDQTNIU
2.0,0.6653061224489796,CCNC(=S)NC(=O)CN1C(=O)SC(=Cc2cccc(N(C)C)c2)C1=O,"InChI=1S/C17H20N4O3S2/c1-4-18-16(25)19-14(22)10-21-15(23)13(26-17(21)24)9-11-6-5-7-12(8-11)20(2)3/h5-9H,4,10H2,1-3H3,(H2,18,19,22,25)",AHTWDMVFDQTNIU
