model,epoch,jaccard_canonical_median,jaccard_canonical_q25,jaccard_canonical_q75,jaccard_inchikey_median,jaccard_inchikey_q25,jaccard_inchikey_q75,jaccard_murcko_median,jaccard_murcko_q25,jaccard_murcko_q75,jaccard_murcko_generic_median,jaccard_murcko_generic_q25,jaccard_murcko_generic_q75,jaccard_formula_median,jaccard_formula_q25,jaccard_formula_q75,jaccard_composition_median,jaccard_composition_q25,jaccard_composition_q75,med_W_median,med_W_q25,med_W_q75,med_A_median,med_A_q25,med_A_q75,n_unique_median,n_unique_q25,n_unique_q75,auc_WA
HierVAE,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.043478260869565216,0.0,0.125,0.0,0.0,0.0,0.2,0.1111111111111111,0.2857142857142857,0.1972617581486702,0.1650998778641224,0.25367648154497147,0.11999999731779099,0.10255754366517067,0.13409407436847687,14.0,8.25,19.75,0.7773113812
HierVAE,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.044444444444444446,0.0,0.09338662790697674,0.0,0.0,0.0,0.2222222222222222,0.125,0.3333333333333333,0.17670239508152008,0.14537815749645233,0.21510989218950272,0.11764705926179886,0.0987704936414957,0.12415540590882301,17.0,12.0,35.0,0.7548224445
HierVAE,15000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.037037037037037035,0.0,0.08571428571428572,0.0,0.0,0.0,0.2727272727272727,0.16666666666666666,0.4,0.2087114378809929,0.15029070153832436,0.2443181835114956,0.11362704634666443,0.10390199907124043,0.12065934017300606,30.0,18.5,56.0,0.7943938918
HierVAE,20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.05555555555555555,0.012603043753963221,0.1043557168784029,0.0,0.0,0.0,0.3,0.17647058823529413,0.4166666666666667,0.20119047909975052,0.16623777523636818,0.2222222238779068,0.11538461595773697,0.10339635983109474,0.12279549799859524,34.0,25.0,52.5,0.8286438393
HierVAE,25000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.07362240289069558,0.0,0.0,0.0,0.25,0.14285714285714285,0.4,0.1854385957121849,0.15148648619651794,0.24735915660858154,0.11726508662104607,0.10621212422847748,0.12598684057593346,45.5,32.25,70.75,0.8101646134
HierVAE,30000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013606071825249907,0.038461538461538464,0.010105134224762682,0.08135686707115278,0.0,0.0,0.0,0.2857142857142857,0.17647058823529413,0.4,0.20256410539150238,0.17969735339283943,0.2517969571053982,0.12018613889813423,0.11285600997507572,0.12820513546466827,50.5,35.25,72.5,0.8284955916
HierVAE,50000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.041666666666666664,0.0,0.0,0.0,0.28,0.17647058823529413,0.4,0.21161308139562607,0.18325062468647957,0.2607487067580223,0.1162029467523098,0.10759708657860756,0.125,82.0,50.25,117.25,0.867965237
HierVAE,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047174009790832225,0.014925373134328358,0.0,0.044444444444444446,0.0,0.0,0.0,0.23529411764705882,0.14285714285714285,0.3550420168067227,0.21543560922145844,0.1695237196981907,0.2563202232122421,0.11230222508311272,0.10096153989434242,0.11869747936725616,85.5,61.25,132.5,0.8721511109
HierVAE,150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266,0.0,0.041166501906510375,0.0,0.0,0.0,0.23529411764705882,0.14285714285714285,0.375,0.20912877470254898,0.16885965317487717,0.25477883592247963,0.10923295468091965,0.10021008551120758,0.11797393672168255,79.5,48.75,119.25,0.8807362608
HierVAE,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.04371715241280459,0.0,0.0,0.0,0.2,0.11764705882352941,0.3333333333333333,0.21784653514623642,0.1739819049835205,0.2538329213857651,0.10982310399413109,0.09809483960270882,0.11896643601357937,63.0,39.75,91.0,0.8793741534
HierVAE,240000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013423423423423425,0.018518518518518517,0.0,0.047619047619047616,0.0,0.0,0.0,0.25,0.12916666666666665,0.3333333333333333,0.2274932637810707,0.1735074669122696,0.28945182263851166,0.11696306616067886,0.10387255065143108,0.1276203729212284,57.5,34.75,103.5,0.8731643796
