model,epoch,jaccard_canonical_median,jaccard_canonical_q25,jaccard_canonical_q75,jaccard_inchikey_median,jaccard_inchikey_q25,jaccard_inchikey_q75,jaccard_murcko_median,jaccard_murcko_q25,jaccard_murcko_q75,jaccard_murcko_generic_median,jaccard_murcko_generic_q25,jaccard_murcko_generic_q75,jaccard_formula_median,jaccard_formula_q25,jaccard_formula_q75,jaccard_composition_median,jaccard_composition_q25,jaccard_composition_q75,med_W_median,med_W_q25,med_W_q75,med_A_median,med_A_q25,med_A_q75,n_unique_median,n_unique_q25,n_unique_q75,auc_WA
MolMiner,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.008928571428571428,0.3333333333333333,0.0,0.5,0.26760563254356384,0.2232789844274521,0.3854166716337204,0.16963064670562744,0.1418650858104229,0.18149038776755333,9.0,2.5,19.25,0.7383821584
MolMiner,2,0.0,0.0,0.0,0.0,0.0,0.0,0.006271133128882598,0.0,0.02162349676225717,0.025105042016806724,0.0,0.04838709677419355,0.0,0.0,0.01713271515502753,0.5,0.25,0.6666666666666666,0.28216180205345154,0.2421455904841423,0.3368212729692459,0.19505414366722107,0.18761180713772774,0.2045145258307457,49.5,27.0,85.25,0.7961874117
MolMiner,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012945387945387946,0.01716769820218096,0.0,0.047619047619047616,0.0,0.0,0.01865544790073092,0.4,0.25,0.6666666666666666,0.23943965137004852,0.21843088418245316,0.29979395866394043,0.17694497108459473,0.15995065867900848,0.18240590393543243,89.0,48.5,134.0,0.7978655579
MolMiner,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009650222965440356,0.016666666666666666,0.0,0.03822115384615385,0.0,0.0,0.0062712256869404135,0.25,0.14285714285714285,0.4,0.22878891229629517,0.21362852677702904,0.273661270737648,0.161036916077137,0.14972178265452385,0.16899121925234795,173.5,46.75,239.0,0.8348814852
MolMiner,5,0.0,0.0,0.0,0.0,0.0,0.0,0.003289616067177423,0.0,0.006734234234234235,0.022018422753716873,0.006675010429703796,0.04364742501414827,0.0,0.0,0.01187842393594606,0.3333333333333333,0.2222222222222222,0.5,0.22058823704719543,0.20651843398809433,0.2439560517668724,0.143704853951931,0.13187340646982193,0.15789473056793213,203.5,137.75,388.25,0.842579119
MolMiner,10,0.0,0.0,0.0,0.0,0.0,0.0,0.004425125313283208,0.0,0.010710018774534903,0.028719280884050798,0.0015923566878980893,0.052460697197539305,0.0,0.0,0.008640383198231393,0.26969696969696966,0.16666666666666666,0.4,0.21875,0.1938473805785179,0.26466529071331024,0.12987013161182404,0.11891201883554459,0.143892340362072,267.0,100.25,396.75,0.8556265594
MolMiner,15,0.0,0.0,0.0,0.0,0.0,0.0,0.003976284584980237,0.0,0.0076191302336340505,0.024465060601526263,0.010869565217391304,0.05206570241575627,0.0,0.0,0.007582994984475758,0.2857142857142857,0.18323863636363635,0.4255952380952381,0.2101018726825714,0.19204425811767578,0.23861607164144516,0.12987013161182404,0.11651583760976791,0.14570175111293793,257.5,160.75,362.5,0.8358713852
MolMiner,20,0.0,0.0,0.0,0.0,0.0,0.0,0.003676470588235294,0.0,0.007905138339920948,0.028808535862477773,0.011730509706218207,0.05020949720670391,0.0,0.0,0.007866477502105033,0.2857142857142857,0.16666666666666666,0.4,0.2142857164144516,0.18911026418209076,0.24571572244167328,0.125,0.11387208476662636,0.14101077616214752,323.0,217.0,455.0,0.843617726
MolMiner,25,0.0,0.0,0.0,0.0,0.0,0.0,0.002594247567262009,0.0,0.006574070113910155,0.01995620583258684,0.0067818087952316135,0.04242891230861006,0.0,0.0,0.008434021178387183,0.32291666666666663,0.2,0.42857142857142855,0.22070015221834183,0.1969393640756607,0.2682717889547348,0.12987013161182404,0.11551119200885296,0.1428571492433548,403.5,197.5,490.75,0.8612188693
MolMiner,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0026214526214526214,0.0,0.0066556291390728484,0.022263527467988434,0.00959225022160314,0.042508113956004324,0.0,0.0,0.009124590589227228,0.34523809523809523,0.23557692307692307,0.4444444444444444,0.21339286118745804,0.19124940782785416,0.23165495321154594,0.125,0.11454658396542072,0.13833627104759216,376.0,218.25,531.5,0.8274388912
